Unnamed: 0,cdens,knum,type_complex,alph_leak,eps,num_complex,grid_id,save_path,grid_id_old,grid_id_old2,jack_mse_mean,jack_mse_std,jack_mse_se
60,4,4,8,0.2,0.1,2.6666666666666665,60,,4,60.0,2.9810985610664753e-05,2.234013835945332e-06,2.234013835945332e-06
61,4,4,8,0.2,0.01,2.6666666666666665,61,,5,61.0,2.3052403590767088e-05,1.226952886589511e-06,1.226952886589511e-06
62,4,4,8,0.2,0.001,2.6666666666666665,62,,6,62.0,5.170487603422151e-06,5.556644616494582e-07,5.556644616494582e-07
63,4,4,8,0.2,0.0001,2.6666666666666665,63,,7,63.0,1.903322502596023e-06,1.445458689931034e-07,1.445458689931034e-07
64,4,4,8,0.2,1e-05,2.6666666666666665,64,,0,64.0,1.299763460590359e-06,1.0585789577370355e-07,1.0585789577370355e-07
65,4,4,8,0.2,1e-06,2.6666666666666665,65,,1,65.0,1.1863271659644827e-06,1.0376217008555437e-07,1.0376217008555437e-07
66,4,4,8,0.5,0.1,2.6666666666666665,66,,2,66.0,2.6039813214152965e-05,1.976520666274705e-06,1.976520666274705e-06
67,4,4,8,0.5,0.01,2.6666666666666665,67,,3,67.0,3.57186810934989e-05,2.4995397153817642e-06,2.4995397153817642e-06
68,4,4,8,0.5,0.001,2.6666666666666665,68,,4,68.0,1.0120688073909161e-05,7.632438450571921e-07,7.632438450571921e-07
69,4,4,8,0.5,0.0001,2.6666666666666665,69,,5,69.0,2.849648428027808e-06,3.079347390618606e-07,3.079347390618606e-07
70,4,4,8,0.5,1e-05,2.6666666666666665,70,,6,70.0,1.6377057961913884e-06,1.4148549932870208e-07,1.4148549932870208e-07
71,4,4,8,0.5,1e-06,2.6666666666666665,71,,7,71.0,1.459032851208477e-06,1.2155885311776162e-07,1.2155885311776162e-07
72,4,4,8,0.8,0.1,2.6666666666666665,72,,0,72.0,2.5207388609003136e-05,1.9115614334598082e-06,1.9115614334598082e-06
73,4,4,8,0.8,0.01,2.6666666666666665,73,,1,73.0,2.6368977811603455e-05,2.0066821429379357e-06,2.0066821429379357e-06
74,4,4,8,0.8,0.001,2.6666666666666665,74,,2,74.0,4.200828040845544e-05,2.06730540942373e-06,2.06730540942373e-06
75,4,4,8,0.8,0.0001,2.6666666666666665,75,,3,75.0,4.819822501083993e-06,5.319259011687099e-07,5.319259011687099e-07
76,4,4,8,0.8,1e-05,2.6666666666666665,76,,4,76.0,1.8665635985738736e-06,1.6166539742824358e-07,1.6166539742824358e-07
77,4,4,8,0.8,1e-06,2.6666666666666665,77,,5,77.0,1.6282599328370279e-06,1.3150499218866236e-07,1.3150499218866236e-07
78,4,4,8,0.9,0.1,2.6666666666666665,78,,6,78.0,2.5106027609210707e-05,1.9034481510328061e-06,1.9034481510328061e-06
79,4,4,8,0.9,0.01,2.6666666666666665,79,,7,79.0,2.5297743087491095e-05,1.9231764764784612e-06,1.9231764764784612e-06
80,4,4,8,0.9,0.001,2.6666666666666665,80,,0,80.0,3.185668084225913e-05,2.3827198376206955e-06,2.3827198376206955e-06
81,4,4,8,0.9,0.0001,2.6666666666666665,81,,1,81.0,5.631414539139028e-06,6.140445603908101e-07,6.140445603908101e-07
82,4,4,8,0.9,1e-05,2.6666666666666665,82,,2,82.0,1.9618534859206028e-06,1.6676657997681503e-07,1.6676657997681503e-07
83,4,4,8,0.9,1e-06,2.6666666666666665,83,,3,83.0,1.6967185929707841e-06,1.3330165919644366e-07,1.3330165919644366e-07
84,4,6,8,0.0,0.1,2.6666666666666665,84,,4,84.0,2.1734981624746087e-05,1.6361264361544953e-06,1.6361264361544953e-06
85,4,6,8,0.0,0.01,2.6666666666666665,85,,5,85.0,2.7216602291014088e-05,2.0348374071241185e-06,2.0348374071241185e-06
86,4,6,8,0.0,0.001,2.6666666666666665,86,,6,86.0,3.946653294100158e-05,2.282728033419618e-06,2.282728033419618e-06
87,4,6,8,0.0,0.0001,2.6666666666666665,87,,7,87.0,2.942199583041486e-05,2.368944051193583e-06,2.368944051193583e-06
88,4,6,8,0.0,1e-05,2.6666666666666665,88,,0,88.0,2.3708942875709902e-05,1.9194930845623137e-06,1.9194930845623137e-06
89,4,6,8,0.0,1e-06,2.6666666666666665,89,,1,89.0,2.317127843264962e-05,1.863266855155019e-06,1.863266855155019e-06
